title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,brand,special,slug,lang,pending,updated_on,logo_name,categories,order,update_id,area,district,county,meetings
FL Post 0416,,,Moore Haven,FL,33471,United States,26.8331174,-81.0931234,863-228-5162,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0416-moore-haven,,,,Default,,0,28,Southwestern Area,District 13,Glades County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0418,,14736 Edward R. Noll Rd,Spring Hill,FL,34609,United States,28.463932,-82.482131,352-796-0398,,americanlegionflpost418@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0418-spring-hill,,,,Default,,0,29,Central Area,District 15,Hernando County,"Meetings: First Monday, 6:00 PM"
FL Post 0415,,Lake Timber Dr,Punta Gorda,FL,33982,United States,26.862534,-82.043562,631-707-2419,,TAL415.BABCOCKRANCH@OUTLOOK.COM,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0415-punta-gorda,,,,Default,,0,30,Southwestern Area,District 13,Charlotte County,Meetings: Third Monday
FL Post 0414,,594 E Main St,Pahokee,FL,33476-1402,United States,26.826702,-80.660781,561-252-0601,,srobert944@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0414-pahokee,,,,Default,,0,31,Southern Area,District 11,Palm Beach County,"Meetings: Second Friday, 6:30 PM - 8:00 PM"
FL Post 0412,,10524 Moss Park Rd #204-190,Orlando,FL,32832,United States,28.41446,-81.24094,407-693-1233,,americanlegionlakenona@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0412-orlando,,,,Default,,0,32,Eastern Area,District 6,Orange County,"Meetings: Third Tuesday, 7:30 PM"
FL Post 0410,,135 Oyster Place,Rockledge,FL,32955,United States,28.2665114,-80.68809462,321-480-0026,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0410-rockledge,,,,Default,,0,33,Eastern Area,District 12,Brevard County,"Meetings: First Thursday, 5:00 PM"
FL Post 0409,,13798 Cygnus Dr,Orlando,FL,32828,United States,28.513945,-81.155522,,,avalonparkpost409@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0409-orlando,,,,Default,,0,34,Eastern Area,District 6,Orange County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0404,,PO Box 1190,Marco Island,FL,34146,United States,25.929066,-81.70202,239-564-9894,,marcoup@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0404-marco-island,,,,Default,,0,35,Southwestern Area,District 13,Collier County,"Meetings: Third Tuesday, 11:00 AM"
FL Post 0402,,17680 Ashley Drive,Panama City Beach,FL,32413,United States,30.237491,-85.899857,978-317-3800,,floridaalpost402@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0402-panama-city-beach,,,,Default,,0,36,Western Area,District 1,Bay County,"Meetings: First Monday, 6:00 PM (If holiday, Second Monday, 6:00 PM)"
FL Post 0401,,37405 Henry Smith Rd,Hillard,FL,32046,United States,30.66929078,-81.90610813,904-845-7300,,cwhilliard401@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0401-hillard,,,,Default,,0,37,Northern Area,District 5,Nassau County,"Meetings: Second Friday, 7:00 PM"
Department Headquarters,,1912A Lee Rd,Orlando,FL,32710,United States,28.6008,-81.40966,800-393-3378,,webmaster@floridalegion.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,department-headquarters-orlando,,,,Default,,0,38,Eastern Area,District 6,,"Department Headquarters - Post 400 is for ""members at large"" only."
FL Post 0395,,,Crestview,FL,32536,United States,30.7621326,-86.5705084,,,jm395cv@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0395-crestview,,,,Default,,0,39,Western Area,District 1,,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0394,,396 Cogan Dr SE,Palm Bay,FL,32909,United States,27.94589,-80.65755,321-726-9777,,post394fl.commander@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0394-palm-bay,,,,Default,,0,40,Eastern Area,District 12,Brevard County,"Meetings: Third Tuesday, 7:00 PM"
FL Post 0392,,535 Oak Ave,Panama City,FL,32402,United States,30.1581818,-85.6643726,850-215-4535,,post392americanlegion@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0392-panama-city,,,,Default,,0,41,Western Area,District 1,Bay County,"Meetings: First Wednesday, 6:30 PM"
FL Post 0390,,12150 Forest Hill Boulevard,Wellington,FL,33411,United States,26.65408,-80.23577,561-876-5425,,jzshwiner@prodigy.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0390-wellington,,,,Default,,0,42,Southern Area,District 11,Palm Beach County,"Meetings: Second Wednesday, 6:30 PM"
FL Post 0389,,1212 SHELLPOINT RD,Ruskin,FL,33570,United States,27.72056,-82.418643,813-900-8166,,commander@legion389.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0389-ruskin,,,,Default,,0,43,Central Area,District 15,Hillsborough County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0385,,7020 SW 8th St,Pembroke Pines,FL,33023,United States,26.00295295,-80.22825937,203-494-9715,,ted.pomerantz@snet.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0385-pembroke-pines,,,,Default,,0,44,Southern Area,District 9,Broward County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0383,,1297 NE 82nd Ave,Old Town,FL,32680,United States,29.604428,-82.994994,352-542-2021,,alp383@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0383-old-town,,,,Default,,0,45,Northern Area,District 3,Dixie County,"Meetings: Third Saturday, 10:00 AM"
FL Post 0382,,1850 Luneta St,Navarre,FL,32566,United States,30.403113,-86.866305,850-936-5888,,americanlegion85@bellsouth.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0382-navarre,,,,Default,,0,46,Western Area,District 1,Santa Rosa County,"Meetings: Third Monday, 5:30 PM"
FL Post 0380,,1920 Mason Ave,Daytona Beach,FL,32117,United States,29.2155925,-81.08406455,386-274-3460,,leporednd@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0380-daytona-beach,,,,Default,,0,47,Northern Area,District 17,Volusia County,"Meetings: Second Tuesday, 2:00 PM"
