title,street,city,state,postal_code,country,phone,email,area,district,county,meetings
FL Post 0416,,Moore Haven,FL,33471,United States,(863) 228-5162,,Southwestern Area,District 13,Glades County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0418,14736 Edward R. Noll Rd,Spring Hill,FL,34609,United States,(352) 796-0398,americanlegionflpost418@gmail.com,Central Area,District 15,Hernando County,"Meetings: First Monday, 6:00 PM"
FL Post 0415,Lake Timber Dr,Punta Gorda,FL,33982,United States,(631) 707-2419,TAL415.BABCOCKRANCH@OUTLOOK.COM,Southwestern Area,District 13,Charlotte County,Meetings: Third Monday
FL Post 0414,594 E Main St,Pahokee,FL,33476-1402,United States,(561) 252-0601,srobert944@aol.com,Southern Area,District 11,Palm Beach County,"Meetings: Second Friday, 6:30 PM - 8:00 PM"
FL Post 0412,10524 Moss Park Rd #204-190,Orlando,FL,32832,United States,(407) 693-1233,americanlegionlakenona@gmail.com,Eastern Area,District 6,Orange County,"Meetings: Third Tuesday, 7:30 PM"
FL Post 0410,135 Oyster Place,Rockledge,FL,32955,United States,(321) 480-0026,,Eastern Area,District 12,Brevard County,"Meetings: First Thursday, 5:00 PM"
FL Post 0409,13798 Cygnus Dr,Orlando,FL,32828,United States,,avalonparkpost409@gmail.com,Eastern Area,District 6,Orange County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0404,PO Box 1190,Marco Island,FL,34146,United States,(239) 564-9894,marcoup@aol.com,Southwestern Area,District 13,Collier County,"Meetings: Third Tuesday, 11:00 AM"
FL Post 0402,17680 Ashley Drive,Panama City Beach,FL,32413,United States,(978) 317-3800,floridaalpost402@gmail.com,Western Area,District 1,Bay County,"Meetings: First Monday, 6:00 PM (If holiday, Second Monday, 6:00 PM)"
FL Post 0401,37405 Henry Smith Rd,Hillard,FL,32046,United States,(904) 845-7300,cwhilliard401@gmail.com,Northern Area,District 5,Nassau County,"Meetings: Second Friday, 7:00 PM"
Department Headquarters,1912A Lee Rd,Orlando,FL,32710,United States,(800) 393-3378,webmaster@floridalegion.org,Eastern Area,District 6,,"Department Headquarters - Post 400 is for ""members at large"" only."
FL Post 0395,,Crestview,FL,32536,United States,,jm395cv@gmail.com,Western Area,District 1,,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0394,396 Cogan Dr SE,Palm Bay,FL,32909,United States,(321) 726-9777,post394fl.commander@gmail.com,Eastern Area,District 12,Brevard County,"Meetings: Third Tuesday, 7:00 PM"
FL Post 0392,535 Oak Ave,Panama City,FL,32402,United States,(850) 215-4535,post392americanlegion@gmail.com,Western Area,District 1,Bay County,"Meetings: First Wednesday, 6:30 PM"
FL Post 0390,12150 Forest Hill Boulevard,Wellington,FL,33411,United States,(561) 876-5425,jzshwiner@prodigy.net,Southern Area,District 11,Palm Beach County,"Meetings: Second Wednesday, 6:30 PM"
