Title,Street,City,State,ZIP,Phone,Area,District,County,Meetings
FL Post 0416,N/A,Moore Haven,FL,33471,(863) 228-5162,Southwestern Area,District 13,Glades County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0418,14736 Edward R. Noll Rd,Spring Hill,FL,34609,(352) 796-0398,Central Area,District 15,Hernando County,"Meetings: First Monday, 6:00 PM"
FL Post 0415,Lake Timber Dr,Punta Gorda,FL,33982,(631) 707-2419,Southwestern Area,District 13,Charlotte County,Meetings: Third Monday
FL Post 0414,594 E Main St,Pahokee,FL,33476-1402,(561) 252-0601,Southern Area,District 11,Palm Beach County,"Meetings: Second Friday, 6:30 PM - 8:00 PM"
FL Post 0412,10524 Moss Park Rd #204-190,Orlando,FL,32832,(407) 693-1233,Eastern Area,District 6,Orange County,"Meetings: Third Tuesday, 7:30 PM"
FL Post 0410,135 Oyster Place,Rockledge,FL,32955,(321) 480-0026,Eastern Area,District 12,Brevard County,"Meetings: First Thursday, 5:00 PM"
FL Post 0409,13798 Cygnus Dr,Orlando,FL,32828,N/A,Eastern Area,District 6,Orange County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0404,PO Box 1190,Marco Island,FL,34146,(239) 564-9894,Southwestern Area,District 13,Collier County,"Meetings: Third Tuesday, 11:00 AM"
FL Post 0402,17680 Ashley Drive,Panama City Beach,FL,32413,(978) 317-3800,Western Area,District 1,Bay County,"Meetings: First Monday, 6:00 PM (If holiday, Second Monday, 6:00 PM)"
FL Post 0401,37405 Henry Smith Rd,Hillard,FL,32046,(904) 845-7300,Northern Area,District 5,Nassau County,"Meetings: Second Friday, 7:00 PM"
Department Headquarters,1912A Lee Rd,Orlando,Florida,32710,(800) 393-3378,Eastern Area,District 6,N/A,"Department Headquarters - Post 400 is for ""members at large"" only."
FL Post 0395,N/A,Crestview,FL,32536,N/A,Western Area,District 1,N/A,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0394,396 Cogan Dr SE,Palm Bay,FL,32909,(321) 726-9777,Eastern Area,District 12,Brevard County,"Meetings: Third Tuesday, 7:00 PM"
FL Post 0392,535 Oak Ave,Panama City,FL,32402,(850) 215-4535,Western Area,District 1,Bay County,"Meetings: First Wednesday, 6:30 PM"
FL Post 0390,12150 Forest Hill Boulevard,Wellington,FL,33411,(561) 876-5425,Southern Area,District 11,Palm Beach County,"Meetings: Second Wednesday, 6:30 PM"
FL Post 0389,1212 SHELLPOINT RD,Ruskin,FL,33570,(813) 900-8166,Central Area,District 15,Hillsborough County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0385,7020 SW 8th St,Pembroke Pines,FL,33023,(203) 494-9715,Southern Area,District 9,Broward County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0383,1297 NE 82nd Ave,Old Town,FL,32680,(352) 542-2021,Northern Area,District 3,Dixie County,"Meetings: Third Saturday, 10:00 AM"
FL Post 0382,1850 Luneta St,Navarre,FL,32566,(850) 936-5888,Western Area,District 1,Santa Rosa County,"Meetings: Third Monday, 5:30 PM"
FL Post 0380,1920 Mason Ave,Daytona Beach,FL,32117,(386) 274-3460,Northern Area,District 17,Volusia County,"Meetings: Second Tuesday, 2:00 PM"
FL Post 0378,2712 Gulf Breeze Pkwy,Gulf Breeze,FL,32563,(850) 565-4356,Western Area,District 1,Santa Rosa County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0375,12507 Hwy 77,Southport,FL,32409,(850) 333-2851,Western Area,District 1,Bay County,"Meetings: Second Tuesday, 7:00 PM"
FL Post 0374,2540 South Bayshore Drive,Coconut Grove,FL,33133,(203) 559-7356,Southern Area,District 14,Miami-Dade County,"Meetings: First Thursday, 7:00 PM"
FL Post 0373,423 McIntosh Ave,Orange Park,FL,32073,(904) 272-1619,Northern Area,District 5,Clay County,"Meetings: Fourth Tuesday, 7:00 PM (Excluding December)"
FL Post 0372,10415 San Jose blvd,Jacksonville,FL,32223,(904) 297-8344,Northern Area,District 5,Duval County,"Legion – Second Thursday, 7:00 PM Auxiliary – Fourth Thursday, 7:00 PM Sons – Second Thursday, 6:15 PM Riders – Third Sunday, 10:00 AM"
FL Post 0371,354 10th St,Lake Park,FL,33403,(561) 842-9110,Southern Area,District 11,Palm Beach County,"Meetings: Fourth Saturday, 12:00 PM"
FL Post 0367,1500 Golden Lakes Blvd,Royal Palm Beach,FL,33411,(561) 290-9980,Southern Area,District 11,Palm Beach County,"Meetings: First Thursday, 7:00 PM"
FL Post 0366,931 Barefoot Blvd Ste 1,Barefoot Bay,FL,32976,(772) 202-4926,Eastern Area,District 12,Brevard County,"Meetings: Third Tuesday, 1:00 PM"
FL Post 0365,10650 W Oakland Park Blvd,Sunrise,FL,33351,(954) 257-6763,Southern Area,District 9,Broward County,"Meetings: Fourth Tuesday, 7:00 PM"
FL Post 0361,2648 S Ridgewood Ave,South Daytona,FL,32119-3538,(386) 760-3887,Northern Area,District 17,Volusia County,"Meetings: First Tuesday, 6:00 PM"
FL Post 0359,7260 S Us Highway 1,Titusville,FL,32780,(321) 268-1632,Eastern Area,District 12,Brevard County,"Meetings: Third Wednesday, 6:00 PM"
FL Post 0358,4350 Oleander Ave,Ft. Pierce,FL,34982,(772) 595-0656,Eastern Area,District 12,St. Lucie County,"Meetings: Second Tuesday, 6:00 PM"
FL Post 0357,2031 Crestridge Dr,Clermont,FL,34711,(352) 874-6591,Eastern Area,District 6,Lake County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0356,400 Aberdeen Pkwy,Panama City,FL,32405,(850) 271-3558,Western Area,District 1,Bay County,"Meetings: First Saturday, 10:00 AM"
FL Post 0354,10411 SW 110TH St.,Dunnellon,FL,34432,N/A,Northern Area,District 4,Marion County,"Meetings: Third Wednesday, 3:00 PM"
FL Post 0351,4800 Palm Beach Blvd,Ft. Myers Shores,FL,33905,(239)693-0351,Southwestern Area,District 13,Lee County,"Meetings: Third Saturday, 10:30 AM"
FL Post 0348,105 Lincoln Ave,Cape Canaveral,FL,32920,(321) 799-1060,Eastern Area,District 12,Brevard County,"Meetings: Third Monday, 6:00 PM"
FL Post 0347,699 W Lady Lake Blvd,Lady Lake,FL,32159-4207,(352) 750-2099,Eastern Area,District 6,Lake County,"Meetings: Legion – Second Wednesday, 6:30 PM | Auxiliary – First Wednesday, 6:00 PM | SAL – Third Wednesday, 6:00 PM | ALR – Fourth Wednesday, 6:30 PM (All meetings are preceded by a “meet & greet”)"
FL Post 0346,11350 SW 53rd Terrace,Miami,FL,33165,(786) 523-2994,Southern Area,District 14,Miami-Dade County,"Meetings: First Tuesday, 8:00 PM"
FL Post 0344,400 South Sykes Creek Parkway,Merritt Island,FL,32952,(321) 453-1776,Eastern Area,District 12,Brevard County,"Meetings: Last Thursday, 6:00 PM"
FL Post 0340,8890 Ashland Ave,Pensacola,FL,32534,(850) 477-8094,Western Area,District 1,Escambia County,"Meetings: E-Board - First Tuesday, 7:00 PM | General - Third Tuesday, 7:00 PM"
FL Post 0339,70103 Nalcrest Rd,Nalcrest,FL,33856,(863) 605-9638,Central Area,District 7,Polk County,"Meetings: Third Tuesday, 7:00 PM (October - April)"
